doi,cluster,phase,note,year,tier,score,S_topo,N_link,direct,sim,nearest_known,generic,openalex
10.32614/r.manuals,light,4,R: A Language and Environment for Statistical Computing,2000,1,30.928,30.928,35,2,0.032,Legendre 1993,1,https://openalex.org/W2582743722
10.1016/j.agrformet.2003.08.027,lai,4,Review of methods for in situ leaf area index determination,2003,1,13.741,12.999,15,7,0.177,Demarez 2008,0,https://openalex.org/W2038617433
10.1126/science.199.4335.1302,light,4,Diversity in Tropical Rain Forests and Coral Reefs,1978,1,13.439,13.318,17,3,0.095,Denslow 1987,0,https://openalex.org/W2166722801
10.1093/jxb/erg263,lai,4,"Ground-based measurements of leaf area index: a review of methods, instruments and current controver",2003,1,12.978,12.273,14,5,0.172,Chianucci 2019,0,https://openalex.org/W2116635928
10.1086/282687,forest,4,Herbivores and the Number of Tree Species in Tropical Forests,1970,1,12.758,12.485,16,3,0.115,Piper 2018,0,https://openalex.org/W2029796932
10.1016/j.agrformet.2003.08.001,lai,4,Review of methods for in situ leaf area index (LAI) determination,2003,1,12.512,11.86,14,6,0.165,Demarez 2008,0,https://openalex.org/W2167248655
10.1111/j.1365-3040.1992.tb00992.x,lai,4,Defining leaf area index for non‐flat leaves,1992,1,11.689,11.613,13,5,0.089,Hirose 2005,0,https://openalex.org/W2151647593
10.1111/j.1469-185x.1977.tb01347.x,light,4,THE MAINTENANCE OF SPECIES‐RICHNESS IN PLANT COMMUNITIES: THE IMPORTANCE OF THE REGENERATION NICHE,1977,1,11.491,11.339,13,2,0.099,Helbach 2022,0,https://openalex.org/W2119259345
10.1146/annurev.ecolsys.39.110707.173506,light,4,"Shade Tolerance, a Key Plant Feature of Complex Nature and Consequences",2008,1,11.328,10.881,13,4,0.138,Canham 1994,0,https://openalex.org/W2137058134
10.1111/j.1365-3121.1992.tb00605.x,field,4,STATISTICS FOR SPATIAL DATA,1992,1,11.316,10.316,11,3,0.245,Guttorp & Gneiting 2006,0,https://openalex.org/W2143022286
10.2307/1941447,evo,4,The Problem of Pattern and Scale in Ecology: The Robert H. MacArthur Award Lecture,1992,1,11.248,11.248,12,5,0.06,Botkin 1972 JABOWA,0,https://openalex.org/W2322480672
10.1029/97jd01107,light,4,"Leaf area index of boreal forests: Theory, techniques, and measurements",1997,1,11.243,10.243,12,4,0.222,Chianucci 2019,0,https://openalex.org/W1969939898
10.1016/0168-1923(95)02291-0,lai,4,Optically-based methods for measuring seasonal variation of leaf area index in boreal conifer stands,1996,1,10.961,10.499,11,7,0.14,Zhu 2016,0,https://openalex.org/W2029984822
10.1146/annurev.ecolsys.31.1.343,light,4,Mechanisms of Maintenance of Species Diversity,2000,1,10.537,10.234,11,2,0.119,Hamilton & May 1977,0,https://openalex.org/W2150597302
10.1007/s004420100809,light,4,Plant diversity in tropical forests: a review of mechanisms of species coexistence,2002,1,10.531,9.993,11,4,0.15,Helbach 2022,0,https://openalex.org/W2133691944
10.2307/1939377,evo,4,Competition and Biodiversity in Spatially Structured Habitats,1994,1,10.226,9.521,11,2,0.172,Pacala 1996 SORTIE,0,https://openalex.org/W2159641034
10.1007/bf00324232,light,4,Relative importance of photosynthetic traits and allocation patterns as correlates of seedling shade,1994,1,9.794,9.499,11,2,0.118,Piper 2018,0,https://openalex.org/W2049605490
10.1046/j.1466-822x.2003.00026.x,lai,4,Global synthesis of leaf area index observations: implications for ecological and remote sensing stu,2003,1,9.736,8.812,12,3,0.201,Fang 2019 LAI review,0,https://openalex.org/W2161491521
10.1016/j.agrformet.2005.09.009,lai,4,Determining digital hemispherical photograph exposure for leaf area index estimation,2005,1,9.61,8.61,12,4,0.587,Demarez 2008,0,https://openalex.org/W2127723859
,forest,4,Population Biology of Plants,1977,1,9.592,9.592,13,2,0.072,Stephenson 2005,0,https://openalex.org/W2077454220
10.2307/2403105,forest,4,The Ecology of Natural Disturbance and Patch Dynamics.,1986,1,9.477,9.477,12,3,0.073,Runkle 1982,0,https://openalex.org/W2335663788
10.2307/4109478,light,4,The Adaptive Geometry of Trees,1972,1,9.472,9.457,11,5,0.081,Canham 1994,0,https://openalex.org/W2012246271
10.1002/9781119115151,field,4,Statistics for Spatial Data,1993,1,9.472,9.222,10,4,0.112,Guttorp & Gneiting 2006,0,https://openalex.org/W2496675188
10.1016/j.agrformet.2018.11.033,lai,4,"Review of indirect optical measurements of leaf area index: Recent advances, challenges, and perspec",2018,1,9.045,8.303,9,4,0.177,Fang 2019 LAI review,0,https://openalex.org/W2903772126
10.1016/j.agrformet.2015.02.012,lai,4,"Understanding the variability in ground-based methods for retrieving canopy openness, gap fraction, ",2015,1,8.91,8.349,11,4,0.153,Chianucci 2019,0,https://openalex.org/W2069419553
10.1016/s0168-1923(01)00274-x,light,4,A comparison of digital and film fisheye photography for analysis of forest canopy structure and gap,2001,1,8.904,7.904,9,6,0.361,Leblanc 2005,0,https://openalex.org/W2116044670
10.1890/0012-9615(2000)070[0171:iorcif]2.0.co;2,light,4,IMPACTS OF ROOT COMPETITION IN FORESTS AND WOODLANDS: A THEORETICAL FRAMEWORK AND REVIEW OF EXPERIME,2000,1,8.878,8.439,10,3,0.137,Nicotra 1999,0,https://openalex.org/W2167863582
10.2307/2388156,light,4,Gap Partitioning among Tropical Rainforest Trees,1980,1,8.829,7.905,9,2,0.201,Denslow 1987,0,https://openalex.org/W2059884733
10.1007/978-94-009-8647-3,lai,4,The radiation regime and architecture of plant stands,1981,1,8.786,8.248,10,2,0.15,Montgomery & Chazdon 2001,0,https://openalex.org/W2152424523
10.1139/x98-165,light,4,Predicting and managing light in the understory of boreal forests,1999,1,8.57,8.025,8,2,0.151,Montgomery & Chazdon 2001,0,https://openalex.org/W2168866790
10.1080/02757259009532119,light,4,Characterizing plant canopies with hemispherical photographs,1990,1,8.492,7.492,8,5,0.357,Demarez 2008,0,https://openalex.org/W2017208387
10.1111/j.1600-0706.2009.17441.x,light,4,"Shade tolerance, canopy gaps and mechanisms of coexistence of forest trees",2010,1,8.473,7.882,12,4,0.157,Canham 1994,0,https://openalex.org/W2151115355
10.2307/1942040,forest,4,Juvenile Tree Survivorship as a Component of Shade Tolerance,1995,1,8.47,7.47,9,2,0.26,Pacala 1996 SORTIE,0,https://openalex.org/W2056640260
10.1016/0168-1923(86)90010-9,lai,4,Extinction coefficients for radiation in plant canopies calculated using an ellipsoidal inclination ,1986,1,8.455,8.288,9,3,0.101,Canham 1994,0,https://openalex.org/W2060176133
10.1016/0266-9838(86)90012-2,evo,4,Statistical analysis of spatial point patterns,1986,1,8.377,7.938,10,2,0.137,Legendre 1993,0,https://openalex.org/W1490441963
